PI,Temperature,eps_inf,delta_eps,tau,alpha,beta
PI_14.csv,50,3.6200000000000006,0.24609670328981517,0.11436929524362967,0.9999999999999999,0.20450660700391446
PI_14.csv,100,3.6300000000000003,0.5849972766121542,0.06721214543750814,0.8506988474876065,0.24979340655180413
PI_14.csv,150,3.6600000000000006,1.1917799337550758,0.09001854711531276,0.9999999999999999,0.17481076642363663
PI_15.csv,100,3.1900000000000004,0.3800134778891857,0.10848131702095967,0.9999999999999999,0.2301705064172329
PI_15.csv,150,3.2300000000000004,0.8048727761792996,0.0787260901082875,0.9999999999999727,0.23965875548713625
PI_16.csv,0,3.4300000000000006,0.08723490544675391,0.13566907281880447,0.9999999999993853,0.18987591012780722
PI_16.csv,50,3.4500000000000006,0.16748876512950983,0.11237573941490804,0.9999999999999999,0.22084077215366132
PI_16.csv,150,3.4900000000000007,0.9017346285044411,0.008452663625253497,0.3826269088851216,0.8785653255546625
PI_17.csv,-150,3.4000000000000004,0.08733033510091012,0.13539057238745517,0.9999999999999999,0.16747711312525
PI_17.csv,-100,3.4600000000000004,0.15131965739766734,0.011042572809153075,0.22448699245721537,0.9999984933291215
PI_17.csv,-50,3.4800000000000004,0.154901911869667,0.12729400776573274,0.9999999999999954,0.16411086418763923
PI_17.csv,50,3.5200000000000005,0.2858474274296777,0.12838692745272193,0.9999999999999999,0.18732667888458218
PI_17.csv,100,3.5700000000000003,0.5440268452421826,0.10407236728329769,0.9999999999999999,0.22465799338364228
PI_17.csv,150,3.6100000000000003,1.0367488677630272,0.03846551035282912,0.5950680426662756,0.450236335802784
PI_22.csv,0,3.6500000000000004,0.1851882282417877,0.10890670138130237,0.9999999999999999,0.1801952874971738
PI_22.csv,50,3.6600000000000006,0.34772014711350024,0.12347420026554343,0.9999999999999999,0.2186015323835214
PI_22.csv,100,3.7000000000000006,0.7442350858811777,0.10239463216801617,0.9999999999999998,0.20149661786314088
PI_22.csv,150,3.7200000000000006,1.4719524120839762,0.0069742353415757725,0.4521211017923552,0.6292600325830628
PI_23.csv,-50,3.2550000000000003,0.09191083367991042,0.00018711655300931228,0.28668580425268025,0.9999999999999999
PI_23.csv,25,3.2600000000000002,0.2951407155172422,0.00266581093354637,0.2495223283538702,0.9999999999999999
PI_23.csv,50,3.2900000000000005,0.32628293578861084,0.14252637826896564,0.9999999999999999,0.18392134638412644
PI_23.csv,100,3.3200000000000003,0.8088671084877671,0.010893885499457535,0.3777085683911609,0.7880658379062955
PI_23.csv,150,3.3700000000000006,1.4834109846729195,0.0020362003921991683,0.35062614944244913,0.9638290122765691
PI_23.csv,190,3.3900000000000916,1.7333843040417753,0.0003659872930097233,0.3914431741852503,0.9999999999842348
PI_24.csv,-150,3.290000000580486,0.06389976675828452,0.1922882785226262,0.9999999937705931,0.1258098877222341
PI_24.csv,-100,3.3100000000000005,0.12099684555031621,0.01235593410679427,0.20218979995346378,0.9999999999999999
PI_24.csv,-50,3.3400000000000003,0.14030267150825804,0.009496292260341519,0.24125838122391152,0.9999999999999999
PI_24.csv,0,3.3300000000000005,0.18226023067278987,0.17303115275522907,0.9999999999999982,0.1534863039639931
PI_24.csv,50,3.3500000000000005,0.3422387145631674,0.11007315646195459,0.9999999999999999,0.21183976290238607
PI_24.csv,100,3.4100000000000006,0.7644796618004873,0.10812092196319935,0.9999999999999999,0.2142528572376756
PI_24.csv,150,3.4600000000000004,1.7265774141022001,0.016727576483538578,0.46801252051373954,0.543009651202544
PI_25.csv,-100,3.4400000000000004,0.09775421570045241,0.0004580046834582096,0.25560711558953986,0.9999999999999999
PI_25.csv,-50,3.4600000000000004,0.11842483417116985,0.0001016972381062762,0.31557254339190444,0.9999999999999877
PI_25.csv,0,3.4700000000000055,0.13484664105363037,3.7670124824046495e-05,0.3370606474321565,0.9999999999998044
PI_25.csv,25,3.4700000000000006,0.29700713827396136,0.0030120579367962134,0.2248518107993871,0.9999999999998573
PI_25.csv,50,3.4800000000000004,0.3285054496752003,0.14738819522084648,0.9999999999999997,0.1536420901631848
PI_25.csv,100,3.5000000000000004,0.7039078518640061,0.08571608127200307,0.9999999999999963,0.20332363521709265
PI_25.csv,150,3.5350000000000006,1.4725628731599423,0.026327735629257835,0.5556605633726782,0.43739031678240126
PI_25.csv,190,3.5400000000000005,2.315864011721633,0.0017095388812597393,0.33209909800506693,0.9999999999999448
PI_26.csv,-150,3.5500000002511847,0.054581517781093526,0.24426498151843612,0.9999999999996907,0.10968117176852271
PI_26.csv,-50,3.5801765216713295,0.09566612779238712,0.15569072582870916,0.9999999999970277,0.15772625039428814
PI_26.csv,100,3.6300000000000003,0.4748828491500568,0.0984926983896914,0.9999999999999948,0.20120865307256253
PI_26.csv,150,3.6500000000000004,1.1537659871441706,0.013134682597951195,0.38583919414885876,0.7337975343994723
PI_27.csv,-150,3.3900000000000006,0.05707426104573794,0.0921306695278953,0.9999999999999999,0.16589225491875
PI_27.csv,-50,3.4100000000000006,0.1221206588121019,0.16225366294819651,0.9999999999942047,0.17194141702375149
PI_27.csv,0,3.4400000000528075,0.22037941906524014,0.14468461513687755,0.9999999994880712,0.1937609949671407
PI_27.csv,50,3.4700000000000006,0.46644258845955383,0.11030211783006985,0.9999999999999999,0.21164865259033008
PI_27.csv,100,3.4900000000000007,1.016921243426147,0.08483737143228688,0.9999999999999999,0.2094075766174179
PI_27.csv,150,3.5200000000000005,2.37521808886525,0.003494385199169969,0.3263637341153179,0.9648872366079955
PI_29.csv,25,3.0700000000000003,0.09962410451369845,0.10827575939406649,0.9999999999999999,0.1856918153172941
PI_30.csv,25,3.2700000000000005,0.17092212006527452,0.036017149868403944,0.5469052500747166,0.41461158377482865
PI_46.csv,200,2.9300000000000006,0.10674328283994977,1.4294484176747932,0.99999993353738,0.18603537050525945
